(59, '2645', 34.62123708, 135.52642077, datetime.datetime(2020, 8, 4, 13, 7, 26))
(60, '2645', 34.62118564, 135.52638514, datetime.datetime(2020, 8, 4, 13, 7, 27))
(61, '2645', 34.62114977, 135.52635754, datetime.datetime(2020, 8, 4, 13, 7, 28))
(62, '2645', 34.62110142, 135.52635846, datetime.datetime(2020, 8, 4, 13, 7, 29))
(63, '2645', 34.62105282, 135.52634875, datetime.datetime(2020, 8, 4, 13, 7, 30))
(64, '2645', 34.6210046, 135.526363, datetime.datetime(2020, 8, 4, 13, 7, 31))
(65, '2645', 34.61920822, 135.52722935, datetime.datetime(2020, 8, 4, 13, 8, 55))
(66, '2645', 34.6192848, 135.52724349, datetime.datetime(2020, 8, 4, 13, 8, 57))
(67, '2645', 34.61925385, 135.5272516, datetime.datetime(2020, 8, 4, 13, 9, 12))
(68, '2645', 34.61928123, 135.52726029, datetime.datetime(2020, 8, 4, 13, 9, 24))
(69, '2645', 34.63222043, 135.51672374, datetime.datetime(2020, 8, 4, 16, 6, 49))
(70, '2645', 34.63227097, 135.5167526, datetime.datetime(2020, 8, 4, 16, 6, 50))
(71, '2645', 34.63221861, 135.51673121, datetime.datetime(2020, 8, 4, 16, 6, 52))
(72, '2645', 34.63218802, 135.5167377, datetime.datetime(2020, 8, 4, 16, 6, 57))
(73, '2645', 34.63225956, 135.51675348, datetime.datetime(2020, 8, 4, 16, 7, 7))
(74, '2645', 34.63230728, 135.51676819, datetime.datetime(2020, 8, 4, 16, 7, 8))
(75, '2645', 34.63235512, 135.51677359, datetime.datetime(2020, 8, 4, 16, 7, 9))
(76, '2645', 34.63242621, 135.5167918, datetime.datetime(2020, 8, 4, 16, 7, 10))
(77, '2645', 34.63249014, 135.51680237, datetime.datetime(2020, 8, 4, 16, 7, 11))
(78, '2645', 34.63255463, 135.51680731, datetime.datetime(2020, 8, 4, 16, 7, 12))
(79, '2645', 34.6326514, 135.51681564, datetime.datetime(2020, 8, 4, 16, 7, 13))
(80, '2645', 34.63274206, 135.51683529, datetime.datetime(2020, 8, 4, 16, 7, 14))
(81, '2645', 34.6328477, 135.51685774, datetime.datetime(2020, 8, 4, 16, 7, 15))
(82, '2645', 34.63295682, 135.51688286, datetime.datetime(2020, 8, 4, 16, 7, 16))
(83, '2645', 34.63305448, 135.51689701, datetime.datetime(2020, 8, 4, 16, 7, 17))
(84, '2645', 34.63316599, 135.51691232, datetime.datetime(2020, 8, 4, 16, 7, 18))
(85, '2645', 34.63328068, 135.51693837, datetime.datetime(2020, 8, 4, 16, 7, 19))
(86, '2645', 34.6333993, 135.51697205, datetime.datetime(2020, 8, 4, 16, 7, 20))
(87, '2645', 34.63351093, 135.51698016, datetime.datetime(2020, 8, 4, 16, 7, 21))
(88, '2645', 34.64652608, 135.51820437, datetime.datetime(2020, 8, 4, 16, 9, 56))
(89, '2645', 34.64655711, 135.51817459, datetime.datetime(2020, 8, 4, 16, 9, 57))
(90, '2645', 34.64660269, 135.51814003, datetime.datetime(2020, 8, 4, 16, 9, 58))
(91, '2645', 34.64664293, 135.51808656, datetime.datetime(2020, 8, 4, 16, 9, 59))
(92, '2645', 34.64668668, 135.51804814, datetime.datetime(2020, 8, 4, 16, 10))
(93, '2645', 34.64673529, 135.51801408, datetime.datetime(2020, 8, 4, 16, 10, 1))
(94, '2645', 34.64678745, 135.51797471, datetime.datetime(2020, 8, 4, 16, 10, 2))
(95, '2645', 34.64683037, 135.51795955, datetime.datetime(2020, 8, 4, 16, 10, 3))
(96, '2645', 34.6468738, 135.51794516, datetime.datetime(2020, 8, 4, 16, 10, 4))
(97, '2645', 34.64692216, 135.51791916, datetime.datetime(2020, 8, 4, 16, 10, 5))
(98, '2645', 34.64697901, 135.51789875, datetime.datetime(2020, 8, 4, 16, 10, 6))
(99, '2645', 34.64703635, 135.51787973, datetime.datetime(2020, 8, 4, 16, 10, 7))
(100, '2645', 34.64710124, 135.51786404, datetime.datetime(2020, 8, 4, 16, 10, 8))
(101, '2645', 34.64716652, 135.51785864, datetime.datetime(2020, 8, 4, 16, 10, 9))
(102, '2645', 34.64724234, 135.5178687, datetime.datetime(2020, 8, 4, 16, 10, 10))
(103, '2645', 34.6473172, 135.51787795, datetime.datetime(2020, 8, 4, 16, 10, 11))
(104, '2645', 34.64740355, 135.51788257, datetime.datetime(2020, 8, 4, 16, 10, 12))
(105, '2645', 34.64750075, 135.51789709, datetime.datetime(2020, 8, 4, 16, 10, 13))
(106, '2645', 34.64760387, 135.51789822, datetime.datetime(2020, 8, 4, 16, 10, 14))
(107, '2645', 34.64770829, 135.51790585, datetime.datetime(2020, 8, 4, 16, 10, 15))
(108, '2645', 34.64778845, 135.51796226, datetime.datetime(2020, 8, 4, 16, 10, 16))
(109, '2645', 34.6478817, 135.51796579, datetime.datetime(2020, 8, 4, 16, 10, 17))
(110, '2645', 34.64796819, 135.51797371, datetime.datetime(2020, 8, 4, 16, 10, 18))
(111, '2645', 34.6480519, 135.51800056, datetime.datetime(2020, 8, 4, 16, 10, 19))
(112, '2645', 34.64814762, 135.51798977, datetime.datetime(2020, 8, 4, 16, 10, 20))
(113, '2645', 34.64824028, 135.5179833, datetime.datetime(2020, 8, 4, 16, 10, 21))
(114, '2645', 34.6483158, 135.5179675, datetime.datetime(2020, 8, 4, 16, 10, 22))
(115, '2645', 34.64841917, 135.51795856, datetime.datetime(2020, 8, 4, 16, 10, 23))
(116, '2645', 34.64850497, 135.51797736, datetime.datetime(2020, 8, 4, 16, 10, 24))
